OPEN,112,,E,BALTIMORE,ST, 04/09/2021,E BALTIMORE ST
OPEN,112,,E,LEE,ST, 02/11/2020,E LEE ST
OPEN,112,,E,LEE,ST, 11/12/2020,E LEE ST
OPEN,112,,E,WASHINGTON,ST, 01/15/2020,E WASHINGTON ST
OPEN,112,,N,MULBERRY,ST, 08/25/2020,N MULBERRY ST
OPEN,112,,N,MULBERRY,ST, 10/16/2020,N MULBERRY ST
OPEN,112,,N,MULBERRY,ST, 11/16/2020,N MULBERRY ST
OPEN,112,,,RANDOLPH,AVE, 05/10/2020,RANDOLPH AVE
OPEN,112,,,RANDOLPH,AVE, 11/30/2020,RANDOLPH AVE
OPEN,112,,,RAY,ST, 09/15/2020,RAY ST
OPEN,113,-115,,BESTER,ST, 09/02/2020,BESTER ST
OPEN,113,-115,,BROADWAY,, 05/14/2020,BROADWAY
OPEN,113,-115,,ELM,ST, 09/16/2020,ELM ST
OPEN,113,,,MCCOMAS,ST, 07/06/2020,MCCOMAS ST
OPEN,113,,,RANDOLPH,AVE, 09/29/2020,RANDOLPH AVE
OPEN,114,-116,,HIGH,ST, 04/20/2021,HIGH ST
OPEN,114,-116,W,FRANKLIN,ST, 11/12/2020,W FRANKLIN ST
OPEN,114,,,EAST,AVE, 02/12/2021,EAST AVE
OPEN,114,,,EAST,AVE, 08/03/2020,EAST AVE
OPEN,114,,,EAST,AVE, 08/17/2020,EAST AVE
OPEN,114,,,EAST,AVE, 09/14/2020,EAST AVE
OPEN,114,,E,FIRST,ST, 09/24/2020,E FIRST ST
OPEN,115,-117,S,POTOMAC,ST, 11/16/2020,S POTOMAC ST
OPEN,115,,,BETHEL,ST, 09/21/2020,BETHEL ST
OPEN,115,,,EAST,AVE, 01/28/2020,EAST AVE
OPEN,115,,,EAST,AVE, 06/23/2020,EAST AVE
OPEN,115,,,EAST,AVE, 08/08/2020,EAST AVE
OPEN,115,,,EAST,AVE, 11/02/2020,EAST AVE
OPEN,115,,,EAST,AVE, 12/11/2020,EAST AVE
OPEN,115,,E,FRANKLIN,ST, 04/08/2021,E FRANKLIN ST
OPEN,115,,,KING,ST, 02/28/2020,KING ST
OPEN,115,,,MCCOMAS,ST, 07/06/2020,MCCOMAS ST
OPEN,116,-118�,N,MULBERRY,ST, 01/15/2021,N MULBERRY ST
OPEN,116,-118,,ELM,ST, 09/16/2020,ELM ST
OPEN,116,,,EAST,AVE, 06/28/2020,EAST AVE
OPEN,116,,E,BALTIMORE,ST, 04/09/2021,E BALTIMORE ST
OPEN,116,,E,WASHINGTON,ST, 03/30/2021,E WASHINGTON ST
OPEN,116,,S,LOCUST,ST, 10/13/2020,S LOCUST ST
OPEN,116,,,WAYSIDE,AVE, 09/21/2020,WAYSIDE AVE
OPEN,117,-119,,RAY,ST, 04/13/2021,RAY ST
OPEN,117,-119,,RAY,ST, 09/15/2020,RAY ST
OPEN,117,,E,FRANKLIN,ST, 04/09/2021,E FRANKLIN ST
OPEN,117,,,RANDOLPH,AVE, 11/30/2020,RANDOLPH AVE
OPEN,117,,,WINTER,ST, 10/16/2020,WINTER ST
OPEN,118,-120,,ALEXANDER,ST, 04/20/2021,ALEXANDER ST
OPEN,118,-120,,ALEXANDER,ST, 04/28/2021,ALEXANDER ST
OPEN,119,-121,E,ANTIETAM,ST, 08/25/2020,E ANTIETAM ST
OPEN,119,-121,S,LOCUST,ST, 11/16/2020,S LOCUST ST
OPEN,119,,S,LOCUST,ST, 05/26/2020,S LOCUST ST
OPEN,119,,W,ANTIETAM,ST, 04/02/2020,W ANTIETAM ST
OPEN,120,,,ROSS,ST, 05/04/2020,ROSS ST
OPEN,121,-123,,BUENA VISTA,AVE, 04/28/2021,BUENA VISTA AVE
OPEN,121,-123,,JOHN,ST, 10/19/2020,JOHN ST
OPEN,121,,,ALEXANDER,ST, 03/02/2021,ALEXANDER ST
OPEN,121,,E,FRANKLIN,ST, 02/09/2021,E FRANKLIN ST
OPEN,121,,E,WASHINGTON,ST, 11/04/2020,E WASHINGTON ST
OPEN,121,,,MCCOMAS,ST, 07/06/2020,MCCOMAS ST
OPEN,121,,,MCCOMAS,ST, 09/22/2020,MCCOMAS ST
OPEN,121,,,RANDOLPH,AVE, 06/13/2020,RANDOLPH AVE
OPEN,121,,,RANDOLPH,AVE, 10/06/2020,RANDOLPH AVE
OPEN,122,-124,,HIGH,ST, 04/20/2021,HIGH ST
OPEN,122,-124,W,HOWARD,ST, 08/24/2020,W HOWARD ST
OPEN,122,,,BROADWAY,, 08/06/2020,BROADWAY
OPEN,122,,,BROADWAY,, 09/29/2020,BROADWAY
OPEN,122,,,FAIRGROUND,AVE, 09/22/2020,FAIRGROUND AVE
OPEN,122,,,RAY,ST, 09/15/2020,RAY ST
OPEN,123,�,S,LOCUST,ST, 11/16/2020,S LOCUST ST
OPEN,123,-125,E,LEE,ST, 04/20/2021,E LEE ST
OPEN,123,,E,ANTIETAM,ST, 08/25/2020,E ANTIETAM ST
OPEN,123,,E,ANTIETAM,ST, 10/24/2020,E ANTIETAM ST
OPEN,123,,,EAST,AVE, 02/24/2021,EAST AVE
OPEN,123,,,EAST,AVE, 10/02/2020,EAST AVE
OPEN,123,,E,FRANKLIN,ST, 02/09/2021,E FRANKLIN ST
OPEN,123,,,MCCOMAS,ST, 09/22/2020,MCCOMAS ST
OPEN,123,,,RAY,ST, 09/15/2020,RAY ST
OPEN,124,,,RAY,ST, 07/06/2020,RAY ST
OPEN,124,,,RAY,ST, 09/15/2020,RAY ST
OPEN,124,,,RAY,ST, 10/28/2020,RAY ST
OPEN,124,,S,LOCUST,ST, 03/12/2021,S LOCUST ST
OPEN,124,,,WAYSIDE,AVE, 09/21/2020,WAYSIDE AVE
OPEN,125,-127,,ELM,ST, 09/16/2020,ELM ST
OPEN,125,,,CHURCH,ST, 04/10/2020,CHURCH ST
OPEN,125,,,CHURCH,ST, 09/02/2020,CHURCH ST
OPEN,125,,E,ANTIETAM,ST, 08/25/2020,E ANTIETAM ST
OPEN,125,,E,FRANKLIN,ST, 02/09/2021,E FRANKLIN ST
OPEN,125,,,JOHN,ST, 10/19/2020,JOHN ST
OPEN,126,,,FAIRGROUND,AVE, 08/07/2020,FAIRGROUND AVE
OPEN,126,,N,LOCUST,ST, 11/02/2020,N LOCUST ST
OPEN,126,,,RANDOLPH,AVE, 11/30/2020,RANDOLPH AVE
OPEN,126,,,RAY,ST, 04/20/2021,RAY ST
OPEN,127,,E,FRANKLIN,ST, 01/15/2021,E FRANKLIN ST
OPEN,127,,E,FRANKLIN,ST, 02/09/2021,E FRANKLIN ST
OPEN,127,,E,LEE,ST, 06/03/2020,E LEE ST
OPEN,127,,,MCCOMAS,ST, 07/06/2020,MCCOMAS ST
OPEN,127,,N,LOCUST,ST, 03/05/2020,N LOCUST ST
OPEN,127,,N,LOCUST,ST, 08/26/2020,N LOCUST ST
OPEN,127,,N,LOCUST,ST, 09/08/2020,N LOCUST ST
OPEN,127,,,RAY,ST, 04/20/2021,RAY ST
OPEN,128,-130,E,BALTIMORE,ST, 09/01/2020,E BALTIMORE ST
OPEN,128,,E,FRANKLIN,ST, 09/16/2020,E FRANKLIN ST
OPEN,128,,E,FRANKLIN,ST, 11/05/2020,E FRANKLIN ST
OPEN,128,,N,MULBERRY,ST, 08/24/2020,N MULBERRY ST
OPEN,128,,,RAY,ST, 09/15/2020,RAY ST
OPEN,129,-131,,ELM,ST, 09/16/2020,ELM ST
OPEN,129,-131,,WAKEFIELD,RD, 10/15/2020,WAKEFIELD RD
OPEN,129,-133,E,BALTIMORE,ST, 09/01/2020,E BALTIMORE ST
OPEN,129,,,ALEXANDER,ST, 02/03/2020,ALEXANDER ST
OPEN,129,,,ALEXANDER,ST, 04/20/2021,ALEXANDER ST
OPEN,129,,,ALEXANDER,ST, 05/22/2020,ALEXANDER ST
OPEN,129,,,ALEXANDER,ST, 10/02/2020,ALEXANDER ST
OPEN,129,,,ALEXANDER,ST, 11/12/2020,ALEXANDER ST
OPEN,129,,,CHURCH,ST, 09/02/2020,CHURCH ST
OPEN,129,,E,ANTIETAM,ST, 08/25/2020,E ANTIETAM ST
OPEN,129,,,MCCOMAS,ST, 07/06/2020,MCCOMAS ST
OPEN,129,,,RAY,ST, 09/15/2020,RAY ST
OPEN,130,�,,ELM,ST, 09/16/2020,ELM ST
OPEN,130,,,BETHEL,ST, 09/21/2020,BETHEL ST
OPEN,130,,,ELM,ST, 09/16/2020,ELM ST
OPEN,131,-133,,RAY,ST, 04/19/2021,RAY ST
OPEN,131,-133,,RAY,ST, 09/15/2020,RAY ST
OPEN,131,,E,BALTIMORE,ST, 02/06/2020,E BALTIMORE ST
OPEN,131,,E,BALTIMORE,ST, 02/07/2020,E BALTIMORE ST
OPEN,131,,N,MULBERRY,ST, 05/29/2020,N MULBERRY ST
OPEN,131,,,WINTER,ST, 04/20/2021,WINTER ST
OPEN,132,,,BETHEL,ST, 09/23/2020,BETHEL ST
OPEN,132,,,RANDOLPH,AVE, 11/30/2020,RANDOLPH AVE
OPEN,132,,,WINTER,ST, 04/20/2021,WINTER ST
OPEN,133,-135,,SUMMIT,AVE, 04/13/2021,SUMMIT AVE
OPEN,133,,,BETHEL,ST, 09/21/2020,BETHEL ST
OPEN,133,,,FAIRGROUND,AVE, 09/22/2020,FAIRGROUND AVE
OPEN,133,,,MCCOMAS,ST, 07/06/2020,MCCOMAS ST
OPEN,133,,N,MULBERRY,ST, 03/04/2020,N MULBERRY ST
OPEN,134,-136,N,POTOMAC,ST, 03/30/2021,N POTOMAC ST
OPEN,134,-140,,RAY,ST, 09/15/2020,RAY ST
OPEN,134,,,ELM,ST, 09/16/2020,ELM ST
OPEN,135,,,BETHEL,ST, 09/21/2020,BETHEL ST
OPEN,135,,E,ANTIETAM,ST, 02/09/2021,E ANTIETAM ST
OPEN,135,,E,BALTIMORE,ST, 02/06/2020,E BALTIMORE ST
OPEN,135,,,ELM,ST, 06/02/2020,ELM ST
OPEN,135,,,HIGH,ST, 04/28/2021,HIGH ST
OPEN,135,,,MCCOMAS,ST, 07/06/2020,MCCOMAS ST
OPEN,135,,N,LOCUST,ST, 08/10/2020,N LOCUST ST
OPEN,135,,N,MULBERRY,ST, 06/01/2020,N MULBERRY ST
OPEN,135,,,RAY,ST, 06/25/2020,RAY ST
OPEN,135,,S,LOCUST,ST, 10/10/2020,S LOCUST ST
OPEN,136,-138,,BROADWAY,, 06/26/2020,BROADWAY
OPEN,136,-138,,BROADWAY,, 07/27/2020,BROADWAY
OPEN,136,-150,,JONATHAN,ST, 06/23/2020,JONATHAN ST
OPEN,136,,,BROADWAY,, 01/04/2020,BROADWAY
OPEN,136,,,BROADWAY,, 01/13/2020,BROADWAY
OPEN,136,,,BROADWAY,, 02/03/2020,BROADWAY
OPEN,136,,,BROADWAY,, 03/28/2020,BROADWAY
OPEN,136,,,BROADWAY,, 04/04/2020,BROADWAY
OPEN,136,,,BROADWAY,, 05/03/2020,BROADWAY
OPEN,136,,,BROADWAY,, 06/17/2020,BROADWAY
OPEN,136,,,BROADWAY,, 10/16/2020,BROADWAY
OPEN,136,,E,FRANKLIN,ST, 11/05/2020,E FRANKLIN ST
OPEN,136,,N,LOCUST,ST, 02/24/2020,N LOCUST ST
OPEN,136,,N,LOCUST,ST, 07/01/2020,N LOCUST ST
OPEN,136,,N,LOCUST,ST, 08/25/2020,N LOCUST ST
OPEN,136,,,WINTER,ST, 04/20/2021,WINTER ST
OPEN,137,-139,,ELM,ST, 09/16/2020,ELM ST
OPEN,137,,E,ANTIETAM,ST, 02/09/2021,E ANTIETAM ST
OPEN,137,,,MCCOMAS,ST, 10/13/2020,MCCOMAS ST
OPEN,138,-140,N,MULBERRY,ST, 10/30/2020,N MULBERRY ST
OPEN,138,,E,ANTIETAM,ST, 02/20/2020,E ANTIETAM ST
OPEN,138,,E,ANTIETAM,ST, 03/26/2020,E ANTIETAM ST
OPEN,138,,E,ANTIETAM,ST, 04/21/2021,E ANTIETAM ST
OPEN,138,,E,FRANKLIN,ST, 05/04/2020,E FRANKLIN ST
OPEN,138,,S,PROSPECT,ST, 01/13/2021,S PROSPECT ST
OPEN,139,,,MCCOMAS,ST, 09/22/2020,MCCOMAS ST
OPEN,139,,N,CANNON,AVE, 05/03/2020,N CANNON AVE
OPEN,139,,,SUMMIT,AVE, 08/10/2020,SUMMIT AVE
OPEN,139,,,SUMMIT,AVE, 08/11/2020,SUMMIT AVE
OPEN,139,,,SUMMIT,AVE, 09/14/2020,SUMMIT AVE
OPEN,139,,,SUMMIT,AVE, 09/25/2020,SUMMIT AVE
OPEN,140,,S,MULBERRY,ST, 10/14/2020,S MULBERRY ST
OPEN,141,-143,,KING,ST, 07/31/2020,KING ST
OPEN,141,-143,,WAKEFIELD,RD, 10/15/2020,WAKEFIELD RD
OPEN,141,-145,E,ANTIETAM,ST, 08/25/2020,E ANTIETAM ST
OPEN,141,,E,BALTIMORE,ST, 08/12/2020,E BALTIMORE ST
OPEN,141,,E,BALTIMORE,ST, 09/01/2020,E BALTIMORE ST
OPEN,141,,,HIGH,ST, 02/04/2021,HIGH ST
OPEN,142,,,WINTER,ST, 04/20/2021,WINTER ST
OPEN,143,,,BELVIEW,AVE, 02/12/2020,BELVIEW AVE
OPEN,143,,,KING,ST, 03/25/2021,KING ST
OPEN,144,,S,LOCUST,ST, 11/16/2020,S LOCUST ST
OPEN,145,-147,,EAST,AVE, 12/31/2020,EAST AVE
OPEN,145,,,ALEXANDER,ST, 04/20/2021,ALEXANDER ST
OPEN,145,,,EAST,AV, 11/18/2020,EAST AV
OPEN,145,,S,PROSPECT,ST, 10/15/2020,S PROSPECT ST
OPEN,146,,S,LOCUST,ST, 03/31/2020,S LOCUST ST
OPEN,147,,E,FRANKLIN,ST, 07/01/2020,E FRANKLIN ST
OPEN,147,,N,CANNON,AVE, 04/29/2021,N CANNON AVE
OPEN,148,,W,NORTH AVE GARAGES,AV, 06/24/2020,W NORTH AVE GARAGES AV
OPEN,148,,W,NORTH AVE GARAGES,AV, 09/14/2020,W NORTH AVE GARAGES AV
OPEN,154,-158,S,POTOMAC,ST, 03/30/2021,S POTOMAC ST
OPEN,154,-158,S,POTOMAC,ST, 10/07/2020,S POTOMAC ST
OPEN,154,-158,S,POTOMAC,ST, 11/12/2020,S POTOMAC ST
OPEN,154,-160,W,WASHINGTON,ST, 11/03/2020,W WASHINGTON ST
OPEN,155,-157,S,POTOMAC,ST, 12/11/2020,S POTOMAC ST
OPEN,157,-159,W,WASHINGTON,ST, 11/03/2020,W WASHINGTON ST
OPEN,158,,S,PROSPECT,ST, 09/03/2020,S PROSPECT ST
OPEN,158,,S,PROSPECT,ST, 10/30/2020,S PROSPECT ST
OPEN,159,,S,POTOMAC,ST, 04/20/2021,S POTOMAC ST
OPEN,159,,S,POTOMAC,ST, 12/11/2020,S POTOMAC ST
OPEN,160,,S,POTOMAC,ST, 11/12/2020,S POTOMAC ST
OPEN,160,,W,WASHINGTON,ST, 03/28/2020,W WASHINGTON ST
OPEN,162,,S,POTOMAC,ST, 11/12/2020,S POTOMAC ST
OPEN,163,,S,POTOMAC,ST, 07/14/2020,S POTOMAC ST
OPEN,181,,S,PROSPECT,ST, 10/30/2020,S PROSPECT ST
OPEN,199,,,BERKSON,PL, 01/30/2020,BERKSON PL
OPEN,200,-212,S,POTOMAC,ST, 03/30/2021,S POTOMAC ST
OPEN,200,-212,S,POTOMAC,ST, 10/28/2020,S POTOMAC ST
OPEN,201,-203,E,WASHINGTON,ST, 05/14/2020,E WASHINGTON ST
OPEN,201,-203,E,WASHINGTON,ST, 05/16/2020,E WASHINGTON ST
OPEN,201,-203,E,WASHINGTON,ST, 11/03/2020,E WASHINGTON ST
OPEN,201,-207,,WAKEFIELD,RD, 10/15/2020,WAKEFIELD RD
OPEN,201,,E,FRANKLIN,ST, 05/15/2020,E FRANKLIN ST
OPEN,201,,E,FRANKLIN,ST, 10/19/2020,E FRANKLIN ST
OPEN,201,,E,WASHINGTON,ST, 12/15/2020,E WASHINGTON ST
OPEN,201,,,MEALEY,PKY, 04/01/2021,MEALEY PKY
OPEN,201,,,TAYLOR,AVE, 06/08/2020,TAYLOR AVE
OPEN,202,-204,N,POTOMAC,ST, 01/13/2021,N POTOMAC ST
OPEN,202,-204,N,POTOMAC,ST, 03/12/2020,N POTOMAC ST
OPEN,202,-204,N,POTOMAC,ST, 11/30/2020,N POTOMAC ST
OPEN,202,,E,FRANKLIN,ST, 10/20/2020,E FRANKLIN ST
OPEN,202,,,HIGH,ST, 04/27/2021,HIGH ST
OPEN,202,,N,CANNON,AVE, 02/23/2021,N CANNON AVE
OPEN,202,,N,CANNON,AVE, 04/29/2021,N CANNON AVE
OPEN,202,,,ROCK WILLOW,AVE, 02/10/2020,ROCK WILLOW AVE
OPEN,202,,,ROCK WILLOW,AVE, 08/12/2020,ROCK WILLOW AVE
OPEN,202,,W,HOWARD,ST, 01/11/2021,W HOWARD ST
OPEN,202,,W,HOWARD,ST, 03/25/2021,W HOWARD ST
OPEN,202,,W,HOWARD,ST, 12/30/2020,W HOWARD ST
OPEN,204,,,DEVONSHIRE,RD, 03/03/2021,DEVONSHIRE RD
OPEN,204,,,DEVONSHIRE,RD, 03/05/2021,DEVONSHIRE RD
OPEN,204,,,HAGER,ST, 08/24/2020,HAGER ST
OPEN,204,,S,MONT VALLA,AVE, 04/28/2021,S MONT VALLA AVE
OPEN,206,-208,,EAST,AVE, 10/29/2020,EAST AVE
OPEN,206,,N,POTOMAC,ST, 03/12/2020,N POTOMAC ST
OPEN,207,,N,MULBERRY,ST, 01/23/2020,N MULBERRY ST
OPEN,207,,N,MULBERRY,ST, 02/09/2021,N MULBERRY ST
OPEN,208,-210,,ALEXANDER,ST, 09/16/2020,ALEXANDER ST
OPEN,208,,N,POTOMAC,ST, 03/12/2020,N POTOMAC ST
OPEN,208,,N,POTOMAC,ST, 11/30/2020,N POTOMAC ST
OPEN,208,,S,MONT VALLA,AVE, 04/28/2021,S MONT VALLA AVE
OPEN,209,-211,,ALEXANDER,ST, 04/20/2021,ALEXANDER ST
OPEN,209,-211,,ALEXANDER,ST, 09/16/2020,ALEXANDER ST
OPEN,209,-219,,WAKEFIELD,RD, 10/15/2020,WAKEFIELD RD
OPEN,209,,N,MULBERRY,ST, 02/04/2020,N MULBERRY ST
OPEN,209,,N,MULBERRY,ST, 03/16/2021,N MULBERRY ST
OPEN,209,,N,MULBERRY,ST, 04/07/2020,N MULBERRY ST
OPEN,209,,,SUMMER,ST, 05/21/2020,SUMMER ST
OPEN,209,,,SUMMER,ST, 07/05/2020,SUMMER ST
OPEN,209,,,SUMMER,ST, 07/23/2020,SUMMER ST
OPEN,209,,,SUMMER,ST, 07/24/2020,SUMMER ST
OPEN,210,-212,N,POTOMAC,ST, 03/12/2020,N POTOMAC ST
OPEN,210,-212,N,POTOMAC,ST, 11/30/2020,N POTOMAC ST
OPEN,210,,,EAST,AVE, 02/17/2020,EAST AVE
OPEN,210,,,JONATHAN,ST, 10/02/2020,JONATHAN ST
OPEN,210,,N,POTOMAC,ST, 07/21/2020,N POTOMAC ST
OPEN,210,,N,POTOMAC,ST, 10/13/2020,N POTOMAC ST
OPEN,210,,,POTOMAC,HTS, 09/01/2020,POTOMAC HTS
OPEN,211,,E,FRANKLIN,ST, 10/27/2020,E FRANKLIN ST
OPEN,211,,W,FRANKLIN,ST, 10/27/2020,W FRANKLIN ST
OPEN,212,-214,,SUMMIT,AVE, 11/04/2020,SUMMIT AVE
OPEN,212,,,JONATHAN,ST, 01/18/2020,JONATHAN ST
OPEN,212,,,JONATHAN,ST, 03/12/2020,JONATHAN ST
OPEN,212,,,JONATHAN,ST, 04/09/2020,JONATHAN ST
OPEN,212,,N,LOCUST,ST, 03/09/2020,N LOCUST ST
OPEN,212,,N,LOCUST,ST, 08/24/2020,N LOCUST ST
OPEN,212,,N,MULBERRY,ST, 02/04/2020,N MULBERRY ST
OPEN,212,,S,MONT VALLA,AVE, 04/13/2021,S MONT VALLA AVE
OPEN,213,-215,E,FRANKLIN,ST, 11/05/2020,E FRANKLIN ST
OPEN,213,,N,MULBERRY,ST, 05/12/2020,N MULBERRY ST
OPEN,214,,N,POTOMAC,ST, 03/12/2020,N POTOMAC ST
OPEN,215,,,TAYLOR,AVE, 06/08/2020,TAYLOR AVE
OPEN,215,,,WEST SIDE,AVE, 08/13/2020,WEST SIDE AVE
OPEN,215,,,WINTER,ST, 10/16/2020,WINTER ST
OPEN,216,-218,,WEST SIDE,AVE, 10/16/2020,WEST SIDE AVE
OPEN,216,,,ALEXANDER,ST, 06/27/2020,ALEXANDER ST
OPEN,216,,N,CANNON,AVE, 09/17/2020,N CANNON AVE
OPEN,216,,N,LOCUST,ST, 03/09/2020,N LOCUST ST
OPEN,216,,N,LOCUST,ST, 12/23/2020,N LOCUST ST
OPEN,217,,,ALEXANDER,ST, 04/20/2021,ALEXANDER ST
OPEN,217,,N,CANNON,AVE, 02/07/2020,N CANNON AVE
OPEN,217,,N,CANNON,AVE, 02/08/2020,N CANNON AVE
OPEN,217,,N,LOCUST,ST, 03/15/2021,N LOCUST ST
OPEN,217,,S,PROSPECT,ST, 07/20/2020,S PROSPECT ST
OPEN,217,,W,WASHINGTON,ST, 08/06/2020,W WASHINGTON ST
OPEN,218,-222,,JONATHAN,ST, 10/30/2020,JONATHAN ST
OPEN,218,,E,ANTIETAM,ST, 03/30/2021,E ANTIETAM ST
OPEN,218,,,JONATHAN,ST, 03/13/2020,JONATHAN ST
OPEN,218,,,JONATHAN,ST, 05/27/2020,JONATHAN ST
OPEN,218,,,JONATHAN,ST, 07/02/2020,JONATHAN ST
OPEN,219,-221,,MILL,ST, 04/29/2021,MILL ST
OPEN,219,,,ALEXANDER,ST, 04/20/2021,ALEXANDER ST
OPEN,219,,N,CLEVELAND,AVE, 02/23/2020,N CLEVELAND AVE
OPEN,220,-222,,FREDERICK,ST, 01/06/2020,FREDERICK ST
OPEN,220,-222,,FREDERICK,ST, 10/12/2020,FREDERICK ST
OPEN,220,-222,S,LOCUST,ST, 04/20/2021,S LOCUST ST
OPEN,220,,N,LOCUST,ST, 02/11/2021,N LOCUST ST
OPEN,220,,N,POTOMAC,ST, 03/12/2020,N POTOMAC ST
OPEN,220,,W,FRANKLIN,ST, 12/02/2020,W FRANKLIN ST
OPEN,221,-223,S,MULBERRY,ST, 09/17/2020,S MULBERRY ST
OPEN,221,-223,W,FRANKLIN,ST, 11/12/2020,W FRANKLIN ST
OPEN,221,,,ALEXANDER,ST, 04/20/2021,ALEXANDER ST
OPEN,221,,,JEFFERSON,ST, 04/20/2021,JEFFERSON ST
OPEN,221,,S,PROSPECT,ST, 10/07/2020,S PROSPECT ST
OPEN,221,,,SUMMIT,AVE, 11/04/2020,SUMMIT AVE
OPEN,222,,,JONATHAN,ST, 08/24/2020,JONATHAN ST
OPEN,222,,,JONATHAN,ST, 08/29/2020,JONATHAN ST
OPEN,222,,W,WILSON,BLVD, 05/14/2020,W WILSON BLVD
OPEN,223,,,ALEXANDER,ST, 04/20/2021,ALEXANDER ST
OPEN,223,,S,LOCUST,ST, 02/17/2021,S LOCUST ST
OPEN,223,,S,LOCUST,ST, 03/18/2021,S LOCUST ST
OPEN,224,-226,,WEST SIDE,AVE, 10/16/2020,WEST SIDE AVE
OPEN,224,,,FREDERICK,ST, 04/03/2020,FREDERICK ST
OPEN,224,,S,LOCUST,ST, 10/02/2020,S LOCUST ST
OPEN,224,,,WEST SIDE,AVE, 07/10/2020,WEST SIDE AVE
OPEN,224,,,WEST SIDE,AVE, 09/29/2020,WEST SIDE AVE
OPEN,225,-227,,ALEXANDER,ST, 04/20/2021,ALEXANDER ST
OPEN,225,-227,W,FRANKLIN,ST, 11/12/2020,W FRANKLIN ST
OPEN,225,-229,,JONATHAN,ST, 10/30/2020,JONATHAN ST
OPEN,225,,,JONATHAN,ST, 01/21/2020,JONATHAN ST
OPEN,225,,N,LOCUST,ST, 03/15/2021,N LOCUST ST
OPEN,226,,,ALEXANDER,ST, 02/23/2020,ALEXANDER ST
OPEN,226,,S,MULBERRY,ST, 07/10/2020,S MULBERRY ST
OPEN,226,,,WEST SIDE,AVE, 07/10/2020,WEST SIDE AVE
OPEN,227,-229,,EAST,AVE, 02/09/2021,EAST AVE
OPEN,227,,N,MULBERRY,ST, 08/03/2020,N MULBERRY ST
OPEN,227,,N,MULBERRY,ST, 08/12/2020,N MULBERRY ST
OPEN,227,,S,LOCUST,ST, 02/23/2021,S LOCUST ST
OPEN,227,,S,LOCUST,ST, 08/12/2020,S LOCUST ST
OPEN,228,,N,LOCUST,ST, 01/19/2020,N LOCUST ST
OPEN,228,,N,LOCUST,ST, 04/06/2020,N LOCUST ST
OPEN,228,,N,MULBERRY,ST, 12/22/2020,N MULBERRY ST
OPEN,229,,,WEST SIDE,AVE, 10/19/2020,WEST SIDE AVE
OPEN,230,,,FREDERICK,ST, 08/11/2020,FREDERICK ST
OPEN,230,,N,MULBERRY,ST, 02/01/2021,N MULBERRY ST
